20061122,23.8504,23.9491,23.7418,23.9491,17531
20061124,23.732,23.9491,23.732,23.8997,11856
20061127,23.732,23.7616,23.4458,23.505,21382
20061128,23.4063,23.4853,23.3471,23.4656,19051
20061129,23.6136,23.7221,23.4952,23.7221,10134
20061130,23.7715,23.8504,23.6333,23.7517,14288
20061201,23.6925,23.6925,23.4063,23.5544,11451
20061204,23.6629,23.9787,23.6629,23.8997,7904
20061205,23.9195,23.9491,23.8208,23.9096,7499
20061206,23.88,23.9787,23.8504,23.9293,6992
20061207,23.9589,23.9589,23.732,23.7912,18241
20061208,23.6432,23.9293,23.6234,23.7123,5979
20061211,23.6826,23.7024,23.5445,23.6234,14491
20061212,23.7419,23.7419,23.2485,23.5149,52798
20061213,23.4952,23.4952,23.1893,23.2583,12566
20061214,23.2386,23.505,23.2386,23.3866,3850
20061215,23.5445,23.5445,23.4063,23.436,34556
20061218,23.6333,23.6333,23.2386,23.3175,12160
20061219,23.209,23.2485,22.9919,23.1695,16113
20061220,23.1103,23.2978,23.1103,23.209,4864
20061221,23.1893,23.209,23.0116,23.0116,2128
20061222,22.982,23.1301,22.8241,23.0708,8816
20061226,23.1597,23.2485,23.0708,23.2287,5979
20061227,23.357,23.436,23.1893,23.2386,13376
20061228,23.3175,23.4458,23.1991,23.3175,14694
20061229,23.2781,23.3274,23.209,23.2287,9323
20070103,23.436,23.505,22.9919,23.1597,15201
20070104,23.1597,23.5938,23.1597,23.5248,48744
20070105,23.4656,23.4754,23.3373,23.3767,9323
20070108,23.4557,23.5642,23.4557,23.5346,3445
20070109,23.4261,23.4458,23.3175,23.4458,12768
20070110,23.3866,23.5642,23.3471,23.5642,9525
20070111,23.6826,23.8405,23.6826,23.8405,10336
20070112,23.9392,24.1464,23.9392,24.1464,7701
20070116,24.2155,24.2352,24.1168,24.1267,9728
20070117,24.1267,24.2155,24.107,24.176,9627
20070118,24.2056,24.255,24.0182,24.0872,12566
20070119,24.0576,24.3339,24.0576,24.2352,9931
20070122,24.2648,24.2648,24.028,24.0675,9627
20070123,23.9096,23.9688,23.7813,23.8208,14694
20070124,23.88,23.9787,23.88,23.9589,4256
20070125,23.9096,23.9096,23.5938,23.5938,3648
20070126,23.505,23.6629,23.4261,23.584,21585
20070129,23.5642,23.7419,23.5642,23.6728,6891
20070130,23.732,23.8307,23.732,23.7715,5675
20070131,23.7123,23.8011,23.6234,23.8011,4256
